"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
"Bulbophyllum
reptans var. acuta
Malhotra &",Orchidaceae,"Daﬁa
Pithoragarh","top,","03.09.197
3",C.M. Arora,"53279
A",Holotype,BSD,
Balodi,,(2400 m),,,,,,,
"Corallorhiza
anandae
Malhotra & 
Balodi",Orchidaceae,"Martoli –
bugyal,
Kumaon (4500
m)","15.06.195
8",T.A. Rao,6851,Holotype,BSD,,
"Corallorhiza
anandae
Malhotra & 
Balodi",Orchidaceae,do,"15.06.195
8",T.A. Rao,6851,Holotype,BSD,,
"Eria occidentalis
Seidenf.",Orchidaceae,"Chowpta-Maiti,
Daﬁadhura,
Pithoragarh","31.07.198
0",C.M. Arora,70806,Isotype,BSD,,
,,(1550 m),,,,,,,
"Eria occidentalis
Seidenf.",Orchidcaeae,"Chowpta-maitti
(1550 m)","31.07.198
0",C.M. Arora,70806,Holotype,BSD,,
"Eulophia
Malhotra &
Balodi",Orchidaceae,"Garjia,
Pithoragarh",Apr-84,B. Balodi,75561,Holotype,BSD,,
"Flickingeria hesperis
Seidenf.",Orchidaceae,"Askot,","16.05.197
9",C.M. Arora,66130,"Holotype
Isotype",BSD,,
,,"Pithoragarh (1500
m)",,,,,,,
"Listera
mucronata
Panigrahi & J.J.
Wood",Orchidaceae,"Amritganga
valley, Garhwal
(3500 m)","28.05.197
1",B.D. Naithani,"44064
, A, B,
C, D, E","Paratype
s",BSD,,
Listera,Orchidaceae,Nepal,-,V. Puri,641,Paratype,BSD,,
Panigrahi &,,,,,,,,,
Wood,,,,,,,,,
"Listera
nandadeviensis
Hajra",Orchidaceae,"Himtoli,
Nandadevi NP
(3000 – 3500 m)","20.08.198
1",P.K. Hajra,"73202
B, C,
D, E",Isotype,BSD,,
"Sesamum
mulayanum",Pedaliaceae,"Kanana,","22.10.196
2",N.C. Nair,"25127
A","Holotype
Isotype",BSD,,
,,"Dadri, Punjab",,,,,,,
"N.C.
Nair",,,,,,,,,
"Sesamum
mulayanum",Pedaliaceae,"Kanana,
Dadri, Punjab","22.10.196
2",N.C. Nair,"25127
B, C,
D, E",Isotype,BSD,,
"N.C.
Nair",,,,,,,,,
"Sesamum
mulayanum",Pedaliaceae,"Kanana,
Dadri, Punjab","22.10.196
2",N.C. Nair,"25132
A, B,
C, D, E","Paratype
s",BSD,,
"N.C.
Nair",,,,,,,,,
"Sesamum
mulayanum",Pedaliaceae,"Kanana,","22.10.196
2",N.C. Nair,"25137
A, B, C","Paratype
s",BSD,,
,,"Dadri, Punjab",,,,,,,
N.C. Nair,,,,,,,,,
"Sesamum
mulayanum",Pedaliaceae,"Kanana,
Dadri, Punjab","22.10.196
2",N.C. Nair,"25146
A, B,
C, D, E","Paratype
s",BSD,,
N.C. Nair,,,,,,,,,
"Apluda aristata var.
jainii R.K. Jain",Poaceae,Rajpur,"10.11.198
2",R.K. Jain,3C,Isotype,BSD,,
"Agrostis munroana
subsp. indica S.
Bhattacharya. &
S.K. Jain",Poaceae,"2
from
Kharcham,",kms,"27.08.197
3","K.P.
Janardanan",52862,Isotype,BSD,
,"Baspa valley, HP",,,,,,,,
"Agrostis munroana
subsp. indica S.
Bhattacharya.
&
S.K. Jain","Near the Bridge,
Baspa valley, HP
(12500 ft)","13.08.197
3","K.P.
Janardanan",52677,Paratype,BSD,,,
"Agrostis munroana
subsp. indica S.
Bhattacharya.
&
S.K. Jain","Brahma Tal,
Baspa valley, HP
(3500 m)","05.10.196
3","U.C.
Bhattacharyy
a",31063,Paratype,BSD,,,
"Agrostis munroana
subsp. indica S.
Bhattacharya. &
S.K. Jain",Poaceae,"Valley of
ﬂowers,
Garhwal (3900
m)","08.10.196
2","U.C.
Bhattacharyy
a",24376,Paratype,BSD,,
"Agrostis munroana
subsp. indica S.
Bhattacharya. &
S.K. Jain",Poaceae,"Pir pass,
Banihat
ridge, JK
(3330-
3835 m)","14.09.195
8",T.A. Rao,7680,Paratype,BSD,,
"Agrostis tungnathii
Sunanda",Poaceae,"Chamoli, on way
to Tungnath,","29.08.197
8","Sunanda
Bhattacharyya",1524 B,Isotype,BSD,,
"S.
Bhattacharyya
&
S.K. Jain",,,,,,,,,
"Cymbopogon
distatus",Poaceae,Upper,Sep-65,B.K. Gupta,23,Holotype,BSD,,
"var.
uppermundensis
Gupta",,"Munda, Banihal
pass, JK",,,,,,,
"Cymbopogon
ladakhensis",Poaceae,"Ladakh, Jammu
&",Feb-66,B.K. Gupta,37,Holotype,BSD,,
B.K. Gupta,,Kashmir,,,,,,,
"Cymbopogon matia
Gupta",Poaceae,"Originally
from Bangalore",Aug-65,B.K. Gupta,25,Holotype,BSD,,
"Elymohordeum
ladakhianum
Rajeswari & R.R.
Rao",Poaceae,"Chumtang –
Mahi, Ladakh, JK","14.08.198
8","H.J. Chowdhery
& B.P. Uniyal",86183,Holotype,BSD,,
"Elymohordeum
ladakhianum
Rajeswari & R.R.
Rao",Poaceae,"Chumtang –
Mahi, Ladakh, JK","14.08.198
8","H.J.
Chowdhery &
B.P. Uniyal","86183
A",Isotype,BSD,,
"Elymohordeum
transhimalaicus
Rajeswari & R.R.
Rao",Poaceae,"Lakoug, Ladakh, JK
(4500 m)","23.07.197
3","U.C.
Bhattacharyy
a",52175,Holotype,BSD,,
"Elymus
gangotrianus
Pusalkar,",Poaceae,"Uttaranchal,
Gangotri
National
Park,","07.08.200
3",Pusalkar,104252,"Holotype
Isotype",BSD,,
D.K.,,,,,,,,,
"Singh
Srivast.",,"Gangotri- Kedar
kharak",,,,,,,
"Elymus
gangotrianus
Pusalkar,",Poaceae,"Uttaranchal,
Gangotri Natl.
Park, On way to
Kedar kharak,","31.08.200
3",Pusalkar,102189,Paratype,BSD,,
D.K.,,,,,,,,,
Singh,,,,,,,,,
Srivast.,,,,,,,,,
"Elymus
gangotrianus
Pusalkar,",Poaceae,"Uttaranchal,
Gangotri Natl.
Park, Bhojbasa","19.07.200
3",Pusalkar,102379,Paratype,BSD,,
D.K.,,,,,,,,,
Singh,,,,,,,,,
Srivast.,,,,,,,,,
"Elymus harsukhii
H.S. Dubey &
S.N. Dixit",Poaceae,"On way to
Amarnath,
Kashmir (3800 m)","14.08.198
8",J. Murugesan,"65618
A",Holotype,BSD,,
Festuca,Poaceae,"Ramani – Deodi,",27.08.198,P.K. Hajra,73380,Isotype,BSD,,
nandadevica Hajra,Nandadevi,,1,,A,,,,
,National,"Park,",,,,,,,
,Chamoli,,,,,,,,
"Festuca
nandadevica Hajra","Ramani – Deodi,
Nandadevi",,"27.08.198
1",P.K. Hajra,"73380
B",Paratype,BSD,,
,National,"Park,",,,,,,,
,Chamoli,,,,,,,,
"Festuca
nandadevica Hajra",,Poaceae,"Deodi –
Ramani
camp, Nandadevi
NP","25.08.198
1",P.K. Hajra,"73285
B",Isotype,BSD,
"Festuca sanjappae
K. Chandra Sek.
&
S.K. Srivast.",,Poaceae,"Chhohem, Pin
Valley National
Park, HP (4100
m)","13.07.200
3","K.
Chandraseka
r",103271,"Holotype
Isotype",BSD,
"Poa chushualana
Rajesw., R.R. Rao
& Arti Garg",,Poaceae,"Chusul, Ladakh, JK
(5500 m)","24.08.197
5","M.V.
Viswanathan",55015,Holotype,BSD,
"Pogonatherum
santapaui
Sur",,Poaceae,"Lansdowne
Marora,
Dehradun (700
m)",–,"26.02.196
0",J.N. Vohra,11248,"Holotype
Isotypes",BSD
"Phymatopteris
nakaikeium",P.C.,Polypodiaceae,"Munsyari,
Pithoragarh","09.09.198
3",P.C. Pande,69,Paratype,BSD,
Pande,,,,,,,,,

Pande,,,,,,,,,
"Androsace
garhwalicum
Balodi & S.
Singh",,Primulaceae,"Hemkund on
way,
Chamoli","17.08.196
3","U.C.
Bhattacharyy
a",29497,"Holotype
Isotype",BSD,
"Pteris raghavendrae
H.J. Chowdhery
&
S. Singh",,Pteridaceae,"Dhauliganga
valley,
Pithoragarh","16.09.198
5","H.J. Chowdhery
& S. Singh",73174,"Holotype
Isotype",BSD,
"Anemone raui Goel
& 
Bhattacharyya",,Ranunculaceae,"Bakri-Udiyar,
Kumaon (3300 m)","06.08.197
2",C.M. Arora,49636,Paratype,BSD,
"Anemone raui Goel
& U.C.",,Ranunculaceae,Below,"08.08.197
2",C.M. Arora,49738,Paratype,BSD,
Bhattach.,,,"Udiyar, Kumaon
(2900 m)",,,,,,
"Anemone raui Goel
& U.C.
Bhattach.",,Ranunculaceae,"Bakri-Udiyar,
Kumaon (3300 m)","06.08.197
2",C.M. Arora,49636,Paratype,BSD,
"Ranunculus
uttaranchalensis 
Pusalkar &
D.K.
Singh",,Ranunculaceae,"Uttarakhand,
Uttarkashi,
Gangotri National
Park, Upper
Nandanvan","15.07.200
3",Pusalkar,102334,"Holotype
Isotype",BSD,
"Berchemia jainiana
Pusalkar & D.K.
Singh",,Rhamnaceae,"Uttarakhand,
Garhwal,","09.08.196
8",M.A. Rau,38167,Isotype,BSD,
,,,"Phata- Gaurikund,
1800 m,",,,,,,
"Sageretia
kishtwarensis
Bhandari &
Bansali",,Rhamnaceae,"Kishtwar hills, JK
(1800-2000 m)","21.09.195
8",T.A. Rao,7799,Holotype,BSD,
"Sageretia
devendrae
Pusalkar",,Rhamnaceae,"Uttarakhand,
Chamoli,
Suraithota,","12.08.198
8",P. K. Hajra,87043,Holotype,BSD,
"Sageretia santapaui
Pusalkar & D.K.
Singh",,Rhamnaceae,"Uttarakhand,
Garhwal, Bhyundar
valley, 2400 m","15.06.197
9","U. C.
Bhattacharyy
a",66316,"Holotype
Isotype",BSD,
"Geum aequilobatum
Purohit &
Panigrahi",,Rosaceae,"Way
Ghuttu,
Tehri-Garhwal",to,"08.06.197
2",B.D. Naithani,4820 b,Isotype,BSD
"Potentilla sojakii
Dikshit & Panigrahi",,Rosaceae,"Shetigar, Spiti,
HP (4300 m)","25.07.197
2","U.C.
Bhattacharyy
a",48842,Holotype,BSD,
"Potentilla sojakii
Dikshit & Panigrahi","Chotadara, Lahul,
HP (3850 m)","11.09.196
1",N.C. Nair,16845,Paratype,BSD,,,
"Spiraea
chambaensis Purohit",Rosaceae,"Satrundi,","13.07.196
4",N.C. Nair,32392,Holotype,BSD,,
& Panigrahi,,"Chamba, HP
(3100 m)",,,,,,,
"Saxifraga
cordigera",Saxifragacceae,"Dzongri,","14.09.198
3",Agses,431,Isotype,BSD,,
,,"Sikkim (13,200 ft)",,,,,,,
"var. sikkimensis
Wadhwa",,,,,,,,,
"Saxifraga
poluniniana
var.",Saxifragaceae,"Kukinakhal,
Garhwal (3200 m)",May-67,"U.C.
Bhattacharyy
a","37230
A",Isotype,BSD,,
mucronata,,,,,,,,,
"Bhattach. &
M.V.
Vishwanathan",,,,,,,,,
"Saxifraga
christopherii
Wadhwa",Saxifragaceae,"Langla pass 5300
m)","06.08.197
3","Grey-Wilson
& Philips",558,Isotype,BSD,,
"Alectra parasitica
var. chitrakutensis
M.A. Rau","Scrophulariacea
e","Chitrakut, Banda, UP","12.11.195
7",M.A. Rau,3724 B,Holotype,BSD,,
"Veronica biloba
var. minima N.C.
Nair","Scrophulariacea
e","Batal, Lahul, HP
(3900 m)","11.09.196
1",N.C. Nair,16842,Holotype,BSD,,
"Valeriana
himachalensis",Valerianaceae,"Thatti forest, HP
(2200 m)","19.06.197
4",B.M. Wadhwa,53071,Holotype,BSD,,
V.,,,,,,,,,
Prakash,,,,,,,,,
Mehrotra,,,,,,,,,
"Tetrastigma indicum
M. Maulik",Vitaceae,"Way to Lilam
valley, Kumaon
(1500 m)","02.09.196
9","Pant &
Naithani",39564,Isotypes,BSD,,
"Hedychium radiatum
A.S. Rao & Hajra",Zingiberaceae,"Near Sephu –
Wawa camp
(about midway)","06.09.197
4",A.S. Rao,"56655
D",Isotype,BSD,,
Lactuca pseudoumbrella D. Maity and Maiti,Asteraceae,Muguthang,31-08-1991,Maiti; Sihna,22485 C,Isotype,,,
"Spongiocarpella purpurea (P.C. Li) Yakovlev var.
ihonakia D. Maity & A.S. Chauhan",Leguminosae,"North Sikkim, Lhonak
valley,
4000 m",11/7/2007,D. Maity,21273 B,Isotype,,,
Juncus benghalensis Kunth. Var,Juncaceae,Kyongnosla,24-08-2004,G.M. Chhetri,27572 B,Isotype,,,
"Chhetri, Hynn. & A. A. Ansari",,"Alpine
Sanctuary 3500
m",,,,,,,
"Hericium bharengense K. Das, Stalpers & 
Eberhardt",Hericiaceae,"Upper
Bhareng,
2573 m",1/9/2010,Kanad Das,KD 10658,Holotype,,,
Lactarius elaioviscidus K. Das & Verbeken,Russulaceae,Hilltok 2233 m,3/9/2010,Kanad Das,KD 10692,Holotype,,,
Lactarius ermineus K. Das & Verbeken,Russulaceae,Yuksom 1693 m,27-08-2010,Kanad Das,KD 10622,Holotype,,,
Lactarim byssaceus K. Das & Verbeken,Russulaceae,Yuksom 1693 m,28-08-2010,Kanad Das,KD 10628,Holotype,,,
"Russula tsokae K. Das, Van de Putte & Buyck",Russulaceae,Tsoka 2897 m,3/9/2009,Kanad Das,"KD-KVP
1283",Holotype,,,
"Russula khanchanjungae Van de Putte, K. Das &
Buyck",Russulaceae,"Between Tsoka &
Djongri 3000 m",4/9/2009,"A. Verbeken,
K.
Das & K
Van.de Putte","AV-KD-KVP
09-116",Holotype,,,
Russula netrabarianus,Russulaceae,"Netrabari, Goa",6/7/2007,Kanad Das,KD 005-07,Holotype,,,
Sharma & J. Hemenway,,,,,,,,,
"Russula koleggiensis K. Das, S.L. Mill., J.R.
Sharma & J. Hemenway",Russulaceae,"Koleggi, Karnataka",7/7/2007,Kanad Das,KD 009-07,Holotype,,,
Hypogymmia sikkimensis G.P. Sinha & Elix,"Hypogymniacea
e","Mei-men Chu Lake
surroundings",18-09-1998,G.P. Sinha,14772 A,Holotype,,,
"Melanela microglara Divakar, Upreti, Sinha &
Elix",Parmeliaceae,"Lohnak valley,
Muguthang",9/1/1999,G.P. Sinha,1570,Holotype,,,
"Myelochroa sikkimensis Divakar, Upreti, G.P.
Sinha & Elix",Parmeliaceae,"Lachung, River Side
forests",15-07-1996,G.P. Sinha,1115,Holotype,,,
"Craniotome furcata
unceolata
Maity et Maiti",Lamiaceae,Below Hanumantok,20-11-1980,P. Chakraborty,826,Holotype,,,
"Craniotome furcata
sikkimensis Maity et Maiti",Lamiaceae,Tholung to Namprik,27-09-2001,D. Maity,24244 A,Holotype,Herbarium Acronym,,
Macaranga balakrishnani B. Mitra & T. Chakrab.,Sesna R.F.,10/6/1998,P. Basu,8377,Isotype,,,,














,,,,,,Holotype,,,
Name of the Taxon,Family name,Place of collection,"Date
Collection","Name of the 
collector","Coll.
No.","Type
Details","Herbarium
Acronym",,
"Striga scottiana
Shyn. Brintha &","Scrophula
- r iaceae",Holotype,"12t h
December",2252,"Chunkankadai
, Nagerkoil",BSID,,,
Rasingam,,,2010,,,,,,
"Brachystelma
B. R. P.
Rao, K.
Prasad, Sadas.,
S. K.
Basha,
M. V. S. Babu & Prasanna","Asclepia-
daceae","hills ,","31s t
2010","B. R. P. Rao &
K. Prasad",34664,Holotype,BSID,,
"Syzygium hookeri M.
V. Ramana, Chorghe &
Venu",Myrtaceae,I sotype,"12t h
February
2012",686,"Saddle
national
Kalpong
ide, North",BSID,,,
,,,,,Andaman,,,,
"Syzygium sanjappaiana M. V.
Ramana, Chorghe & Venu",Myrtaceae,I sotype,"20t h
February
2012",779,"Saddle
national
Kalpong
ide, North",BSID,,,
,,,,,Andaman,,,,
"Brachystelma
penchalakonense","Asclepia-
daceae","Penchalakona
, Nellore
district","6 t h
September
2012","Rasingam
,",2923,I sotype,BSID,,
"Rasingam,
Chorghe, Meve,
Rao & Prasanna",,,,,,,,,
"Staurogyne
M. V.
Ramana,
Sanjappa, Venu &
Chorghe",Acantha- ceae,I sotype,"18t h
January
2013",1185,"Saddle
national
Kalpong
ide, North
Andaman",BSID,,,
"Glochidion kingii M. V.
Ramana, Sanjappa, Venu
& Chorghe","Euphor-
biaceae",I sotype,"28t h October
2011",542,"Saddle
national
Kalipur",BSID,,,
,,iver,,,"Kalpong
s ide,
North",,,,
,,,,,Andaman,,,,
"Glochidion t irupathiense
Rasingam,
Chorghe, Prasanna &
Sankara Rao","Euphor-
biaceae",I sotype,"4 t h
September
2012",2901,"Way to KP
Tirumala hi l l
s .",BSID,,,
"Ledebouria
M. V. Ramana, Prasanna
& Venu","Hyacin-
thaceae",I sotype,"27t h
2009","P. V.
Prasanna &
V. N. Rao",1459,BSID,,,
"Murdannia
M. V. Ramana & Nandikar","Commeli-
naceae",peak,"18t h
October
2011",,550,I sotype,BSID,,
"Tripogon t i rumalae
Chorghe,
Rasingam, Prasanna &
Sankara Rao",Poaceae,I sotype,"4 t h
September
2012",,2914,BSID,,,
"Centotheca ganeshaiahiana
M. V. Ramana,
Chorghe, Prasanna &
Sanjappa",Poaceae,"peak
Park,","19t h
February
2011",,78,I sotype,BSID,,
"Ceropegia pullaiahii
Kullayisw., Sandhyar.
& Karupp.","Asclepia-
daceae",Paratype,"5 t h
November
2011",,41850,BSID,,,
"Glochidion kingii M. V.
Ramana, Sanjappa, Venu
& Chorghe","Euphor-
biaceae",peak,"28t h October
2011",,262,Paratype,BSID,,
"Tripogon
Chorghe,",Poaceae,Paratype,"6 t h
September
2012","Rasingam
,",2938,BSID,,,
"Rasingam, Prasanna &
Sankara Rao",,,,,,,,,
"Agapetes subansirica
G.D.Pal &Thoth.",Ericaceae,"Begi,
Lower
Subansiri","24.04.198
0",G.D. Pal,78214A,Isotype,ARUN,,
"Aconogonon pangianum
G.D. Pal & Maiti",Polygonaceae,"Pange, Lower
Subansiri",19.4.1980,G.D. Pal,77434,Isotype,ARUN,,
"Aconogonon pangianum
G.D.Pal & Maiti",Polygonaceae,"Tale Valley,
Lower
Subansiri",18.4.1980,G.D. Pal,77707,Paratype,ARUN,,
"Maesa arunachalensis
G.S.Giri, S.K.Das &
M.P.",Myrsinaceae,"Laa to
Muri,
Upper",10.1.1987,S.K. Das,3086,Isotype,ARUN,,
Nayar,,Subansiri,,,,,,,
"Globba rubromaculata J.
Lal & D.M. Verma","Zingiberacea
e","Ganga Lake,
Ianagar",2.10.86,J. Lal,2201A,Holotype,ARUN,,
"Globba rubromaculata J.
Lal & D.M. Verma","Zingiberacea
e","Ganga Lake,
Ianagar",2.10.86,J. Lal,2201B,Isotype,ARUN,,
"Primula subansirica G.
D. Pal",Primulaceae,"Begi,
Lower
Subansiri",24.4.1980,G.D. Pal,78219A-B,Isotype,ARUN,,
"Leycesteria
dibangvalliensis S.K. Das
& G.S. Giri","Caprifoliacea
e","Tewarigaon
, Dibang
Valley",3.1.1988,S.K. Das,2903,Isotype,ARUN,,
"Maesa nayarii G.S.Giri
& S.K.Das",Myrsinaceae,"Sippi to
Talika,
Upper
Subansiri",26.4.1988,S.K. Das,4038C,Isotype,ARUN,,
"Sonerila arunachalensis 
G.S.Giri, A. Pramanik
& H.J.Chowdhery","Melastomatace
a e","Mehao
WLS,
Dibang","15.09.199
0",A. Pramanik,5438,Isotype,ARUN,,
,,Valley,,,,,,,
"Sonerila arunachalensis
G.S. Giri, A. Pramanik
&","Melastomatace
a e","Mehao
WLS,
Dibang","15.09.199
0",A. Pramanik,5438,Holotype,ARUN,,
H.J. Chowdhery,,Valley,,,,,,,
"Sadiria erecta Mez var.
longipetiolata G.S. Giri,
G.D. Pal & H.J.
Chowdhery",Myrsinaceae,"Begi to Amji,
Lower
Subansiri","12.11.196
4",A.R.K. Sastry,40533,Holotype,ARUN,,
"Maesa ziroensis G.S. Giri
& G. D. Pal",Myrsinaceae,"Old Ziro to
Begi road,",9.4.1980,G.D. Pal,,Holotype,ARUN,,
Ophiorrhiza talevalliensis,Rubiaceae,Pange-,19.4.1980,G.D. Pal,77660,Paratype,ARUN,,
G. D. Pal & G. S. Giri,,Tale,,,,,,,
"Hedychium rubrum A.S.
Rao & D.M. Verma","Zingiberacea
e","Woodlands,
Khasi Hills",7.8.1970,D.M. Verma,38430,Holotype,ARUN,,
"Hedychium rubrum A.S.
Rao & D.M. Verma","Zingiberacea
e","Woodlands,
Khasi Hills","07.08.197
0",D.M. Verma,38430,Isotype,ARUN,,
"Eria sharmae
H.J.Chowdhery,
G.S.Giri &
G.D.Pal",Orchidaceae,"Itanagar,
Lower","20.02.199
2",H. J. Chowdhery,1726,Holotype,ARUN,,
"Eria sharmae H.J.
Chowdhery, G.S. Giri
&
G.D. Pal",Orchidaceae,"Itanagar,
Lower
Subansiri","20.02.199
2",H. J. Chowdhery,1726,Isotype,ARUN,,
"Epipogium indicum H.J.
Chowdhery, G.D. Pal
&
G.S. Giri",Orchidaceae,"Itanagar,
Lower
Subansiri","15.04.199
2",H. J. Chowdhery,1746,Holotype,ARUN,,
"Epipogium indicum H.J.
Choudhary, G.D. Pal
&
G.S. Giri",Orchidaceae,"Itanagar,
Lower
Subansiri","15.04.199
2",H. J. Chowdhery,1746,Isotype,ARUN,,
"Epipogium indicum H.J.
Choudhary, G.D. Pal
&
G.S. Giri",Orchidaceae,"Itanagar,
Lower
Subansiri","15.04.199
2",H. J. Chowdhery,1746,Isotype,ARUN,,
"Hedychium raoii G.D. Pal
& G.S. Giri","Zingiberacea
e","Yazali to
Kimin","20.09.198
3",G.D. Pal,,Holotype,ARUN,,
"Pholidota pygmaea H.J.
Chowdhery & G.D. Pal",Orchidaceae,Itanagar,"30.07.199
3",H. J. Chowdhery,1760,Holotype,ARUN,,
Mapania arunachalensis,Cyperaceae,Itanagar,"27.03.197
9",G.D. Pal,72502,Holotype,ARUN,,
Mapania arunachalensis,Cyperaceae,Itanagar,"27.03.197
9",G.D. Pal,72502,Isotype,ARUN,,
"Medinilla arunachalica
G.D. Pal",Myrsinaceae,"Old Ziro,
Lower
Subansiri","18.09.198
3",G.D. Pal,1232,Isotype,ARUN,,
"Rhododendron nayarii
G.D. Pal",Ericaceae,"Tale Valley,
Lower
Subansiri","17.04.198
0",G.D. Pal,77690A,Holotype,ARUN,,
"Rhododendron nayarii
G.D. Pal",Ericaceae,"Tale Valley,
Lower
Subansiri","17.04.198
0",G.D. Pal,77690D,Isotype,ARUN,,
"Lysionotus palinensis G.D.
Pal",Gesneriaceae,"Palin, Lower
Subansiri","09.09.198
3",G.D. Pal,400,Holotype,ARUN,,
"Embelia arunachalensis
R.K. Choudhary,
R.C. Srivastava &
A.K. Das",Myrsinaceae,"Gelling,
Upper Siang","18.09.200
7",R.K. Choudhary,18702,Holotype,ARUN,,
"Embelia arunachalensis
R.K. Choudhary,
R.C. Srivastava &
A.K. Das",Myrsinaceae,"Gelling,
Upper Siang","18.09.200
7",R.K. Choudhary,18702,Isotype,ARUN,,
"Hygrophila schulli M.R.Almeida
& S.M.Almeida var. alba
P.J.Parmar",Acanthaceae,"Konajari, near Kadi,
Mehsana Dist.,Gujarat",30.9.2003,P.J. Parmar,12988-A,Holotype,BSJO,,
"Hygrophila schulli M.R.Almeida
& S.M.Almeida var. alba
P.J.Parmar",Acanthaceae,"Konajari, near Kadi,
Mehsana Dist.,Gujarat",30.9.2003,P.J. Parmar,12988-B,Isotype,BSJO,,
"Salvadora persica L. var. persica
f. alba Rao & Chakraborty","Salvadoracea
e","Khirlao village,
near Sardar",5.11.1974,B.V. Shetty,1335-A,Holotype,BSJO,,
,,"Samand,
Dist.,Rajasthan",,Pali,,,,,
"Salvadora persica L. var. persica
f. alba Rao & Chakraborty","Salvadoracea
e","Khirlao village, near
Sardar Samand, Pali
Dist., Rajasthan",5.11.1974,B.V. Shetty,1335-B,Isotype,BSJO,,
"Echinops rajasthanensis
R.P.Pandey & V.Singh",Asteraceae,"Sunda hill, Jaswantpura,
Jalore Dist., Rajasthan",7.1.1978,"R.P. Pandey &
V. Singh",5248-A,Holotype,BSJO,,
"Echinops rajasthanensis
R.P.Pandey & V.Singh",Asteraceae,"Sunda hill, Jaswantpura,
Jalore Dist., Rajasthan",7.1.1978,"R.P. Pandey &
V. Singh",5248-B,Isotype,BSJO,,
"Tribulus subramanyamii P.Singh,
G.S.Giri & V.Singh","Zygophyllace
ae","Maddipenta, Kurnod
Dist., Andhra
Pradesh",11.8.1972,J.L. Ellis,42229-A,Holotype,BSJO,,
"Digitaria pennata (Hochst.) 
T.Cooke var. shettyana
R.P.Pandey, Parmar & B.L.Vyas",Poaceae,"Sareh mandir, Jalore Dist.,
Rajasthan",21.9.1978,B.V. Shetty,6659-B,Isotype,BSJO,,
"Brachiaria brizantha Stapf var.
ciliata Basappa & Muniy.",Poaceae,"Mysore Dist.,
Karnataka",11.9.1980,"G.P. Basappa &
M.
Muniyamma",1004-C,Isotype,BSJO,,
"Brachiaria chennaveeraiana
Basappa & Muniy.",Poaceae,"Near Gomukh, Mount
Abu, Rajasthan",15.10.1980,"G.P. Basappa &
M.
Muniyamma",2195-C,Isotype,BSJO,,
"Brachiaria eruciformis var.
divaricata Basappa & Muniy.",Poaceae,"Bogadi, near Mysore
Dist., Karnataka",12.8.1979,"G.P. Basappa &
M.
Muniyamma",1451-D,Isotype,BSJO,,
"Brachiaria hybrida Basappa &
Muniy.",Poaceae,"Near Tunga dam
Gajanur, Shimoga Dist.,
Karnataka",10.9.1979,"G.P. Basappa &
M.
Muniyamma",2851-C,Isotype,BSJO,,
Brachiaria munae Basappa,Poaceae,"Madurai Kamraj
University campus,
Madurai,Tamil Nadu",20.12.1979,G.P. Basappa,3001-C,Isotype,BSJO,,
"Brachiaria reptans (L.)
C.A.Gardner & C.E.Hubb. var.
hispida Basappa & Muniy.",Poaceae,"Govinakovi, Shimoga
Dist., Karnataka",10.10.1978,"G.P. Basappa &
M.
Muniyamma",2302-C,Isotype,BSJO,,
"Brachiaria ramosa Stapf var.
pubescens Basappa & Muniy.",Poaceae,"Benakanahalli, Shimoga
Dist., Karnataka",20.8.1980,"G.P. Basappa &
M.
Muniyamma",2171-C,Isotype,BSJO,,
"Brachiaria semiundulata Stapf
var. lanata Basappa &
Muniy.",Poaceae,"Near Doopada,
Bore Bedaguli,
Mysore Dist.,
Karnataka",8.8.1979,"G.P. Basappa &
M.
Muniyamma",2603-C,Isotype,BSJO,,
"Brachiaria semiundulata Stapf
var. intermedia Basappa & 
Muniy.",Poaceae,"Near Doopada,
Bore Bedaguli,
Mysore Dist.,
Karnataka",8.8.1979,"G.P. Basappa &
M.
Muniyamma",2602-C,Isotype,BSJO,,
"Brachiaria setigera (Retz.)
C.E.Hubb. var. albistyla
Basappa & Muniy.",Poaceae,"Agriculture college
campus, Coimbatore,
Tami Nadu",25.10.1980,"G.P. Basappa &
M.
Muniyamma",2716-C,Isotype,BSJO,,
"Brachiaria stapfiana Basappa & 
Muniy.",Poaceae,"Near Ugra,
Narasimha temple,
Hampi
Bellary",20.9.1979,"G.P. Basappa &
M. Muniyamma",2100-C,Isotype,BSJO,,
,,"Dist., Karnataka",,,,,,,
"Brachiaria villosa (Lam.) A.Camus
var. glaberrima Basappa & 
Muniy.",Poaceae,"Near
point
Siwalik
Chandigarh",2911-C,"Monkey,
Kasauli,
hill,","G.P. Basappa &
M.
Muniyamma",26.11.1981,Isotype,BSJO,
"Viola patrinii DC. var.
suaveolens Watt",Violaceae,"On the way to 
Punjab, 9000 ft",27 May 1878,George Watt,2097,Lectotype,BSIS,,
"Pogostemon
manipurensis V.S.
Kumar",Lamiaceae,Manipur,Sine die,George Watt,5078,Isotype,BSIS,,
"Plesmonium burkillii
Engl. & K. Krause
ex Haines",Araceae,Purneah,9-Aug-06,I.H. Burkill,27322,Holotype,BSIS,,
