"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
"Pyrenula darjeelingensis
Jagadeesh & G.P.Sinha",Pyrenulaceae,"West Bengal,
Darjeeling District,
Happy valley Tea
Estate",16.05.2005,"Vivek
Narayan
Singh",2248,Holotype,BSA,,
"Pyrenula subcylindrica Jagadeesh
Ram & Upreti",Pyrenulaceae,"West
Bengal,
Sundarban
s,
B.R., Lothian Island",07.03.2003,"T.A.M.
Jagadeesh
Ram",13805,Isotype,BSA,,
"Enterographa bengalensis
Jagdeesh Ram & G.P.Sinha",Roccellaceae,"West Bengal,
SBR, Goshaba
mangrove
forest",29.02.2004,"T.A.M.
Jagadeesh
Ram",1083,Holotype,BSA,,
"Graphidastra himalayanum Jagdeesh 
Ram & G.P.Sinha",Roccellaceae,"West Bengal,
Darjeeling, Neora
valley",17.05.2008,"T.A.M.
Jagadeesh
Ram",4360,Holotype,BSA,,
"Graphidastra himalayanum Jagdeesh 
Ram & G.P.Sinha",Roccellaceae,"West Bengal,
Darjeeling, Neora
valley",15.05.2010,"T.A.M.
Jagadeesh
Ram",6119,Paratype,BSA,,
"Graphidastra himalayanum Jagdeesh 
Ram & G.P.Sinha",Roccellaceae,"West Bengal,
Darjeeling, Neora
valley",15.05.2010,"T.A.M.
Jagadeesh
Ram",6120,Paratype,BSA,,
"Graphidastra himalayanum Jagdeesh 
Ram & G.P.Sinha",Roccellaceae,"West Bengal,
Darjeeling, Neora
valley",15.05.2010,"T.A.M.
Jagadeesh
Ram",6121,Paratype,BSA,,
"Graphidastra himalayanum Jagdeesh 
Ram & G.P.Sinha",Roccellaceae,"West Bengal,
Darjeeling, Neora
valley",15.05.2010,"T.A.M.
Jagadeesh
Ram",6125,Paratype,BSA,,
"Graphidastra himalayanum Jagdeesh 
Ram & G.P.Sinha",Roccellaceae,"West Bengal,
Darjeeling, Neora
valley",15.05.2010,"T.A.M.
Jagadeesh
Ram",6143,Paratype,BSA,,
"Graphidastra himalayanum Jagdeesh 
Ram & G.P.Sinha",Roccellaceae,"West Bengal,
Darjeeling, Neora
valley, Zero point
way",15.05.2008,"T.A.M.
Jagadeesh
Ram",4274,Paratype,BSA,,
"Thelenella indica Pinokiyo & Kr. P.
Singh",Thelnellaceae,"Sikkim Himalaya, East
Sikkim, Assam Linzey Rd.",02.03.2005,"Athokpam
Pinokiyo",F 315,Isootype,BSA,,
"Friesodielsia khoshooi Vasudeva
Rao & Chakrab.",Annonaceae,"Great Nicobar, Laful",12.5.1980,D.K. Hore,11,Paratype,PBL,,
"Friesodielsia khoshooi Vasudeva
Rao & Chakrab.",Annonaceae,"Great Nicobar,
Campbell
Bay, Lakshman Beach",12.8.1975,N.P. Balakrishnan,7562,Paratype,PBL,,
"Miliusa mukerjeeana Debika
Mitra & Chakr.",Annonaceae,"Car Nicobar, Malacca",1.3.1974,N.G. Nair,2928,Paratype,PBL,,
"Miliusa mukerjeeana Debika
Mitra & Chakr.",Annonaceae,"Katchal Island,
towards Kaponga",22.4.1974,P. Chakraborty,1142,Paratype,PBL,,
"Tinomiscium nicobaricum
N.P.Balakr.","Menispermacea
e","Great Nicobar, near
Galathea river",16.6.1977,N.P. Balakrishnan,5787B-C,Isotype,PBL,,
"Casearia insularis Vasudeva Rao
& Chakrab.",Flacourtiaceae,"North Andaman, Saddle
Peak",31.3.1977,N.P. Balakrishnan,5389,Isotype,PBL,,
"Casearia insularis Vasudeva
Rao & Chakrab.",Flacourtiaceae,"North Andaman, Saddle
Peak",31.3.1977,N.P. Balakrishnan,5375,Paratype,PBL,,
"Casearia insularis Vasudeva
Rao & Chakrab.",Flacourtiaceae,"North Andaman, Saddle
Peak, Lamia Bay Shore,
Smith Island",31.3.1977,N.P. Balakrishnan,5425,Paratype,PBL,,
"Hydnocarpus sharmae P.S.N. Rao
& Sreek.",Flacourtiaceae,"North Andaman, Smith
Island",13.7.1980,P.S.N. Rao,20661,Isotype,PBL,,
"Garcinia dhanikhariensis
S.K.Srivast.",Clusiaceae,"South Andaman,
Dhanikari Garden",18.1.1992,S.K. Srivastava,21068A-C,Isotype,PBL,,
"Grewia indandamanica
L.N.Ray",Tiliaceae,"North Andaman, Saddle
Peak","18.10.198
7",J.L. Ellis,12775BCDE,Isotype,PBL,,
"Hiptage thothathrii N.P. Balakr.
& R.C.Srivast.",Malpighiaceae,"North Andaman, Saddle
Peak",31.3.1977,N.P. Balakrishnan,5377B,Isotype,PBL,,
"Chisocheton nicobarianus
Debnath & Sreek.",Meliaceae,"Great Nicobar, Laful",18.5.1981,R.P. Diwivedi,8541,Isotype,PBL,,
"Chisocheton nicobarianus
Debnath & Sreek.",Meliaceae,"Great Nicobar, Laful",8.6.1981,D.K. Hore,8758,Paratype,PBL,,
"Chisocheton nicobarianus
Debnath & Sreek.",Meliaceae,"Great Nicobar, East -
West Road",6.5.1981,R.P. Diwivedi,8522,Paratype,PBL,,
"Nicobariodendron sleumeri
Vasudeva Rao & Chakrab.",Celastraceae,"Great Nicobar, East -
West Road","22.10.197
9",D.K. Hore,"7236 B,C, D",Isotype,PBL,,
"Nicobariodendron sleumeri
Vasudeva Rao & Chakrab.",Celastraceae,"Katchal Island, way to
Oil
Palm","20.10.197
9",P. Chakraborty,2226,Paratype,PBL,,
